precheck1	seed=1	variance=14.123013564599	tolerance=1.006823332435	pooled_n=300000	pooled_variance=13.804505565419	empirical_variance=13.2802
precheck2	mean_signed_movement=0.169976215071	expected=0.171
precheck3	scenario=Q5	paired_sd=0.509429539081
precheck3	scenario=Q20	paired_sd=1.610686454815
precheck3	scenario=Q80	paired_sd=5.365488243716
precheck3	scenario=M5	paired_sd=1.447168237907
precheck3	scenario=M20	paired_sd=1.055791069009
precheck3	scenario=M80	paired_sd=1.478301388106
precheck3	scenario=A20	paired_sd=1.119361438037
precheck3	scenario=B20	paired_sd=0.218777996546
precheck3	s_max=5.365488243716	S=1843
precheck3	S=1843 exceeds 1000; runtime scales linearly with S
candidate	scenario	budget_pairs	estimator	mean_loss	start_loss	mean_diff_vs_current	se_diff	clip_fraction
C3	B20	12000	final	0.530212224904	0.000000000000	-0.114585367024	0.000987133028	0.998846725530
C3	B20	12000	average	0.435088711044	0.000000000000	-0.209708880884	0.002203183670	0.998846725530
C4	Q5	3000	final	16.378763498523	17.600000000000	0.136292764638	0.013498155005	0.000000000000
C4	Q5	3000	average	16.673458004248	17.600000000000	0.430987270363	0.014196705858	0.000000000000
C4	Q5	6000	final	15.228832822692	17.600000000000	-1.013637911193	0.010781592419	0.000000000000
C4	Q5	6000	average	15.781067467785	17.600000000000	-0.461403266100	0.011438071587	0.000000000000
C4	Q5	12000	final	13.175838817146	17.600000000000	-3.066631916739	0.006726856632	0.000000000000
C4	Q5	12000	average	14.147607463731	17.600000000000	-2.094863270155	0.007007559925	0.000000000000
C4	Q20	3000	final	52.376036059565	70.400000000000	3.208832348374	0.049438634404	0.000000000000
C4	Q20	3000	average	56.383879047462	70.400000000000	7.216675336271	0.050118633891	0.000000000000
C4	Q20	6000	final	38.918747841081	70.400000000000	-10.248455870110	0.042280527482	0.000000000000
C4	Q20	6000	average	45.153377899927	70.400000000000	-4.013825811264	0.043014976685	0.000000000000
C4	Q20	12000	final	21.573758531380	70.400000000000	-27.593445179811	0.034222158116	0.000000000000
C4	Q20	12000	average	29.073978206940	70.400000000000	-20.093225504251	0.033668412461	0.000000000000
C4	Q80	3000	final	101.108551699524	281.600000000000	34.111932771700	0.151590089470	0.000000000000
C4	Q80	3000	average	132.305498210333	281.600000000000	65.308879282509	0.155269478629	0.000000000000
C4	Q80	6000	final	33.055078729125	281.600000000000	-33.941540198698	0.095145070638	0.000000000000
C4	Q80	6000	average	59.132497621143	281.600000000000	-7.864121306680	0.104287492420	0.000000000000
C4	Q80	12000	final	3.801854541508	281.600000000000	-63.194764386315	0.117684847189	0.000000000000
